"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-03-29","M","65+","TACNA","TACNA",1
"2020-03-29","M","65+","UCAYALI","CORONEL PORTILLO",2
"2020-04-05","F","0-17","ICA","ICA",1
"2020-04-05","F","0-17","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-05","F","0-17","LIMA","LIMA",1
"2020-04-05","F","0-17","PIURA","MORROPON",1
"2020-04-05","F","0-17","UCAYALI","CORONEL PORTILLO",1
"2020-04-05","F","0-17","UCAYALI","PADRE ABAD",1
"2020-04-05","F","18-44","LAMBAYEQUE","CHICLAYO",2
"2020-04-05","F","18-44","LIMA","CAÑETE",1
"2020-04-05","F","18-44","LIMA","LIMA",3
"2020-04-05","F","18-44","LORETO","MAYNAS",2
"2020-04-05","F","18-44","TUMBES","ZARUMILLA",1
"2020-04-05","F","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-04-05","F","45-64","AREQUIPA","AREQUIPA",1
"2020-04-05","F","45-64","CAJAMARCA","CAJABAMBA",1
"2020-04-05","F","45-64","CALLAO","CALLAO",1
"2020-04-05","F","45-64","HUANUCO","PUERTO INCA",1
"2020-04-05","F","45-64","LAMBAYEQUE","CHICLAYO",2
"2020-04-05","F","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-05","F","45-64","LIMA","LIMA",7
"2020-04-05","F","45-64","LORETO","MAYNAS",1
"2020-04-05","F","45-64","PIURA","PIURA",3
"2020-04-05","F","45-64","PIURA","TALARA",1
"2020-04-05","F","45-64","PUNO","PUNO",1
"2020-04-05","F","45-64","TUMBES","TUMBES",1
"2020-04-05","F","65+","AMAZONAS","UTCUBAMBA",1
"2020-04-05","F","65+","ANCASH","SANTA",2
"2020-04-05","F","65+","AREQUIPA","AREQUIPA",2
"2020-04-05","F","65+","CAJAMARCA","CAJAMARCA",2
"2020-04-05","F","65+","CALLAO","CALLAO",5
"2020-04-05","F","65+","ICA","ICA",3
"2020-04-05","F","65+","ICA","PISCO",1
"2020-04-05","F","65+","JUNIN","HUANCAYO",1
"2020-04-05","F","65+","LA LIBERTAD","ASCOPE",1
"2020-04-05","F","65+","LA LIBERTAD","OTUZCO",1
"2020-04-05","F","65+","LA LIBERTAD","SANCHEZ CARRION",1
"2020-04-05","F","65+","LA LIBERTAD","TRUJILLO",1
"2020-04-05","F","65+","LAMBAYEQUE","CHICLAYO",2
"2020-04-05","F","65+","LAMBAYEQUE","FERREÑAFE",5
"2020-04-05","F","65+","LIMA","CAÑETE",2
"2020-04-05","F","65+","LIMA","HUAROCHIRI",1
"2020-04-05","F","65+","LIMA","HUAURA",1
"2020-04-05","F","65+","LIMA","LIMA",7
"2020-04-05","F","65+","LORETO","ALTO AMAZONAS",1
"2020-04-05","F","65+","LORETO","MAYNAS",2
"2020-04-05","F","65+","PIURA","SULLANA",1
"2020-04-05","F","65+","SAN MARTIN","MOYOBAMBA",1
"2020-04-05","F","65+","UCAYALI","CORONEL PORTILLO",2
"2020-04-05","M","0-17","LIMA","LIMA",2
"2020-04-05","M","0-17","PIURA","PIURA",1
"2020-04-05","M","0-17","PIURA","SULLANA",1
"2020-04-05","M","18-44","ANCASH","SANTA",1
"2020-04-05","M","18-44","CALLAO","CALLAO",1
"2020-04-05","M","18-44","JUNIN","JAUJA",1
"2020-04-05","M","18-44","LAMBAYEQUE","CHICLAYO",2
"2020-04-05","M","18-44","LAMBAYEQUE","LAMBAYEQUE",2
"2020-04-05","M","18-44","LIMA","CAÑETE",1
"2020-04-05","M","18-44","LIMA","LIMA",7
"2020-04-05","M","18-44","LORETO","MAYNAS",1
"2020-04-05","M","18-44","LORETO","REQUENA",1
"2020-04-05","M","18-44","PIURA","PIURA",2
"2020-04-05","M","45-64","ANCASH","HUARAZ",1
"2020-04-05","M","45-64","ANCASH","SANTA",1
"2020-04-05","M","45-64","AYACUCHO","LUCANAS",1
"2020-04-05","M","45-64","CALLAO","CALLAO",7
"2020-04-05","M","45-64","ICA","PISCO",1
"2020-04-05","M","45-64","JUNIN","CHANCHAMAYO",1
"2020-04-05","M","45-64","JUNIN","HUANCAYO",1
"2020-04-05","M","45-64","LA LIBERTAD","CHEPEN",1
"2020-04-05","M","45-64","LAMBAYEQUE","CHICLAYO",6
"2020-04-05","M","45-64","LAMBAYEQUE","FERREÑAFE",4
"2020-04-05","M","45-64","LAMBAYEQUE","LAMBAYEQUE",5
"2020-04-05","M","45-64","LIMA","CAÑETE",1
"2020-04-05","M","45-64","LIMA","HUARAL",1
"2020-04-05","M","45-64","LIMA","HUAURA",2
"2020-04-05","M","45-64","LIMA","LIMA",7
"2020-04-05","M","45-64","LORETO","ALTO AMAZONAS",1
"2020-04-05","M","45-64","LORETO","MAYNAS",2
