"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-07-12","M","45-64","SAN MARTIN","TOCACHE",3
"2020-07-12","M","45-64","TACNA","TACNA",4
"2020-07-12","M","45-64","TUMBES","CONTRALMIRANTE VILLAR",1
"2020-07-12","M","45-64","TUMBES","TUMBES",5
"2020-07-12","M","45-64","TUMBES","ZARUMILLA",2
"2020-07-12","M","45-64","UCAYALI","ATALAYA",2
"2020-07-12","M","45-64","UCAYALI","CORONEL PORTILLO",4
"2020-07-12","M","45-64","UCAYALI","PADRE ABAD",1
"2020-07-12","M","65+","AMAZONAS","BAGUA",7
"2020-07-12","M","65+","AMAZONAS","CHACHAPOYAS",1
"2020-07-12","M","65+","AMAZONAS","CONDORCANQUI",1
"2020-07-12","M","65+","AMAZONAS","UTCUBAMBA",2
"2020-07-12","M","65+","ANCASH","BOLOGNESI",1
"2020-07-12","M","65+","ANCASH","HUARAZ",7
"2020-07-12","M","65+","ANCASH","HUARI",1
"2020-07-12","M","65+","ANCASH","HUARMEY",2
"2020-07-12","M","65+","ANCASH","HUAYLAS",1
"2020-07-12","M","65+","ANCASH","MARISCAL LUZURIAGA",1
"2020-07-12","M","65+","ANCASH","RECUAY",1
"2020-07-12","M","65+","ANCASH","SANTA",7
"2020-07-12","M","65+","APURIMAC","ANDAHUAYLAS",1
"2020-07-12","M","65+","AREQUIPA","AREQUIPA",7
"2020-07-12","M","65+","AREQUIPA","CAMANA",2
"2020-07-12","M","65+","AREQUIPA","CAYLLOMA",1
"2020-07-12","M","65+","AREQUIPA","CONDESUYOS",1
"2020-07-12","M","65+","AREQUIPA","ISLAY",3
"2020-07-12","M","65+","AYACUCHO","CANGALLO",2
"2020-07-12","M","65+","AYACUCHO","HUAMANGA",6
"2020-07-12","M","65+","AYACUCHO","HUANTA",2
"2020-07-12","M","65+","AYACUCHO","LA MAR",2
"2020-07-12","M","65+","AYACUCHO","LUCANAS",1
"2020-07-12","M","65+","CAJAMARCA","CAJABAMBA",1
"2020-07-12","M","65+","CAJAMARCA","CAJAMARCA",7
"2020-07-12","M","65+","CAJAMARCA","HUALGAYOC",2
"2020-07-12","M","65+","CAJAMARCA","JAEN",7
"2020-07-12","M","65+","CAJAMARCA","SAN IGNACIO",3
"2020-07-12","M","65+","CAJAMARCA","SAN MIGUEL",1
"2020-07-12","M","65+","CALLAO","CALLAO",7
"2020-07-12","M","65+","CUSCO","CUSCO",7
"2020-07-12","M","65+","CUSCO","LA CONVENCION",2
"2020-07-12","M","65+","CUSCO","URUBAMBA",1
"2020-07-12","M","65+","HUANCAVELICA","ACOBAMBA",2
"2020-07-12","M","65+","HUANCAVELICA","ANGARAES",2
"2020-07-12","M","65+","HUANCAVELICA","HUANCAVELICA",1
"2020-07-12","M","65+","HUANCAVELICA","TAYACAJA",1
"2020-07-12","M","65+","HUANUCO","AMBO",1
"2020-07-12","M","65+","HUANUCO","DOS DE MAYO",1
"2020-07-12","M","65+","HUANUCO","HUANUCO",7
"2020-07-12","M","65+","HUANUCO","LEONCIO PRADO",3
"2020-07-12","M","65+","ICA","CHINCHA",7
"2020-07-12","M","65+","ICA","ICA",7
"2020-07-12","M","65+","ICA","NAZCA",5
"2020-07-12","M","65+","ICA","PISCO",7
"2020-07-12","M","65+","JUNIN","CHANCHAMAYO",4
"2020-07-12","M","65+","JUNIN","CHUPACA",2
"2020-07-12","M","65+","JUNIN","CONCEPCION",2
"2020-07-12","M","65+","JUNIN","HUANCAYO",7
"2020-07-12","M","65+","JUNIN","JAUJA",1
"2020-07-12","M","65+","JUNIN","SATIPO",2
"2020-07-12","M","65+","JUNIN","TARMA",1
"2020-07-12","M","65+","JUNIN","YAULI",2
"2020-07-12","M","65+","LA LIBERTAD","ASCOPE",7
"2020-07-12","M","65+","LA LIBERTAD","CHEPEN",4
"2020-07-12","M","65+","LA LIBERTAD","GRAN CHIMU",1
"2020-07-12","M","65+","LA LIBERTAD","PACASMAYO",4
"2020-07-12","M","65+","LA LIBERTAD","PATAZ",1
"2020-07-12","M","65+","LA LIBERTAD","SANCHEZ CARRION",1
"2020-07-12","M","65+","LA LIBERTAD","SANTIAGO DE CHUCO",1
"2020-07-12","M","65+","LA LIBERTAD","TRUJILLO",7
"2020-07-12","M","65+","LA LIBERTAD","VIRU",5
"2020-07-12","M","65+","LAMBAYEQUE","CHICLAYO",7
"2020-07-12","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-07-12","M","65+","LAMBAYEQUE","LAMBAYEQUE",6
"2020-07-12","M","65+","LIMA","BARRANCA",7
"2020-07-12","M","65+","LIMA","CAÑETE",5
"2020-07-12","M","65+","LIMA","HUARAL",5
"2020-07-12","M","65+","LIMA","HUAROCHIRI",4
"2020-07-12","M","65+","LIMA","HUAURA",7
"2020-07-12","M","65+","LIMA","LIMA",7
"2020-07-12","M","65+","LIMA","OYON",1
"2020-07-12","M","65+","LORETO","ALTO AMAZONAS",3
"2020-07-12","M","65+","LORETO","DATEM DEL MARAÑON",1
"2020-07-12","M","65+","LORETO","LORETO",1
"2020-07-12","M","65+","LORETO","MAYNAS",3
"2020-07-12","M","65+","LORETO","PUTUMAYO",2
"2020-07-12","M","65+","LORETO","UCAYALI",2
"2020-07-12","M","65+","MADRE DE DIOS","TAHUAMANU",1
"2020-07-12","M","65+","MADRE DE DIOS","TAMBOPATA",6
"2020-07-12","M","65+","MOQUEGUA","ILO",4
"2020-07-12","M","65+","MOQUEGUA","MARISCAL NIETO",5
"2020-07-12","M","65+","PASCO","DANIEL ALCIDES CARRION",1
"2020-07-12","M","65+","PASCO","OXAPAMPA",1
"2020-07-12","M","65+","PASCO","PASCO",1
"2020-07-12","M","65+","PIURA","AYABACA",1
"2020-07-12","M","65+","PIURA","HUANCABAMBA",2
"2020-07-12","M","65+","PIURA","MORROPON",4
"2020-07-12","M","65+","PIURA","PAITA",3
"2020-07-12","M","65+","PIURA","PIURA",7
"2020-07-12","M","65+","PIURA","SECHURA",2
"2020-07-12","M","65+","PIURA","SULLANA",6
"2020-07-12","M","65+","PIURA","TALARA",5
"2020-07-12","M","65+","PUNO","CHUCUITO",1
"2020-07-12","M","65+","PUNO","EL COLLAO",1
"2020-07-12","M","65+","PUNO","MOHO",1
"2020-07-12","M","65+","PUNO","SAN ROMAN",3
"2020-07-12","M","65+","PUNO","YUNGUYO",2
"2020-07-12","M","65+","SAN MARTIN","BELLAVISTA",3
"2020-07-12","M","65+","SAN MARTIN","EL DORADO",1
"2020-07-12","M","65+","SAN MARTIN","HUALLAGA",2
"2020-07-12","M","65+","SAN MARTIN","LAMAS",6
"2020-07-12","M","65+","SAN MARTIN","MARISCAL CACERES",1
"2020-07-12","M","65+","SAN MARTIN","MOYOBAMBA",2
"2020-07-12","M","65+","SAN MARTIN","PICOTA",3
"2020-07-12","M","65+","SAN MARTIN","RIOJA",3
"2020-07-12","M","65+","SAN MARTIN","SAN MARTIN",6
"2020-07-12","M","65+","SAN MARTIN","TOCACHE",2
"2020-07-12","M","65+","TACNA","JORGE BASADRE",1
"2020-07-12","M","65+","TACNA","TACNA",4
"2020-07-12","M","65+","TUMBES","CONTRALMIRANTE VILLAR",2
"2020-07-12","M","65+","TUMBES","TUMBES",4
"2020-07-12","M","65+","UCAYALI","ATALAYA",1
"2020-07-12","M","65+","UCAYALI","CORONEL PORTILLO",5
"2020-07-12","M","65+","UCAYALI","PADRE ABAD",1
"2020-07-19","F","0-17","AREQUIPA","AREQUIPA",1
"2020-07-19","F","0-17","LA LIBERTAD","ASCOPE",1
"2020-07-19","F","0-17","LA LIBERTAD","TRUJILLO",1
"2020-07-19","F","0-17","LA LIBERTAD","VIRU",1
"2020-07-19","F","0-17","LIMA","LIMA",2
"2020-07-19","F","0-17","LORETO","ALTO AMAZONAS",1
"2020-07-19","F","0-17","LORETO","LORETO",1
"2020-07-19","F","0-17","LORETO","MAYNAS",1
"2020-07-19","F","18-44","AMAZONAS","BAGUA",2
"2020-07-19","F","18-44","AMAZONAS","CONDORCANQUI",1
"2020-07-19","F","18-44","ANCASH","CASMA",1
"2020-07-19","F","18-44","ANCASH","HUARAZ",1
"2020-07-19","F","18-44","AREQUIPA","AREQUIPA",6
"2020-07-19","F","18-44","AREQUIPA","CAYLLOMA",1
"2020-07-19","F","18-44","AYACUCHO","HUAMANGA",2
"2020-07-19","F","18-44","CAJAMARCA","CAJAMARCA",1
"2020-07-19","F","18-44","CAJAMARCA","JAEN",1
"2020-07-19","F","18-44","CAJAMARCA","SAN IGNACIO",1
"2020-07-19","F","18-44","CALLAO","CALLAO",2
"2020-07-19","F","18-44","CUSCO","CUSCO",3
"2020-07-19","F","18-44","HUANUCO","HUANUCO",2
"2020-07-19","F","18-44","ICA","CHINCHA",2
"2020-07-19","F","18-44","ICA","ICA",1
"2020-07-19","F","18-44","ICA","PISCO",2
"2020-07-19","F","18-44","JUNIN","CHANCHAMAYO",1
"2020-07-19","F","18-44","JUNIN","CONCEPCION",1
"2020-07-19","F","18-44","JUNIN","HUANCAYO",1
"2020-07-19","F","18-44","JUNIN","JAUJA",1
"2020-07-19","F","18-44","JUNIN","SATIPO",1
"2020-07-19","F","18-44","JUNIN","YAULI",1
"2020-07-19","F","18-44","LA LIBERTAD","TRUJILLO",1
"2020-07-19","F","18-44","LA LIBERTAD","VIRU",1
"2020-07-19","F","18-44","LAMBAYEQUE","CHICLAYO",2
"2020-07-19","F","18-44","LAMBAYEQUE","LAMBAYEQUE",1
"2020-07-19","F","18-44","LIMA","BARRANCA",1
"2020-07-19","F","18-44","LIMA","CAJATAMBO",1
"2020-07-19","F","18-44","LIMA","CAÑETE",3
"2020-07-19","F","18-44","LIMA","HUAURA",1
"2020-07-19","F","18-44","LIMA","LIMA",7
"2020-07-19","F","18-44","LORETO","DATEM DEL MARAÑON",1
"2020-07-19","F","18-44","LORETO","MARISCAL RAMON CASTILLA",1
"2020-07-19","F","18-44","LORETO","REQUENA",1
"2020-07-19","F","18-44","LORETO","UCAYALI",1
"2020-07-19","F","18-44","MADRE DE DIOS","TAMBOPATA",1
"2020-07-19","F","18-44","MOQUEGUA","ILO",1
"2020-07-19","F","18-44","MOQUEGUA","MARISCAL NIETO",1
"2020-07-19","F","18-44","PIURA","PAITA",1
"2020-07-19","F","18-44","PIURA","PIURA",2
"2020-07-19","F","18-44","PIURA","SECHURA",1
"2020-07-19","F","18-44","PUNO","SAN ROMAN",1
"2020-07-19","F","18-44","SAN MARTIN","SAN MARTIN",1
"2020-07-19","F","18-44","TACNA","TACNA",2
"2020-07-19","F","18-44","UCAYALI","CORONEL PORTILLO",3
"2020-07-19","F","45-64","AMAZONAS","BAGUA",4
"2020-07-19","F","45-64","AMAZONAS","UTCUBAMBA",1
"2020-07-19","F","45-64","ANCASH","CARHUAZ",1
"2020-07-19","F","45-64","ANCASH","HUARAZ",3
"2020-07-19","F","45-64","ANCASH","HUARMEY",1
"2020-07-19","F","45-64","ANCASH","RECUAY",1
"2020-07-19","F","45-64","ANCASH","SANTA",7
"2020-07-19","F","45-64","APURIMAC","ABANCAY",1
"2020-07-19","F","45-64","AREQUIPA","AREQUIPA",7
"2020-07-19","F","45-64","AREQUIPA","CAMANA",2
"2020-07-19","F","45-64","AREQUIPA","CARAVELI",1
"2020-07-19","F","45-64","AREQUIPA","ISLAY",5
"2020-07-19","F","45-64","AYACUCHO","HUAMANGA",2
"2020-07-19","F","45-64","CAJAMARCA","CAJAMARCA",2
"2020-07-19","F","45-64","CAJAMARCA","CELENDIN",1
"2020-07-19","F","45-64","CAJAMARCA","CUTERVO",1
"2020-07-19","F","45-64","CAJAMARCA","JAEN",3
"2020-07-19","F","45-64","CALLAO","CALLAO",6
"2020-07-19","F","45-64","CUSCO","ANTA",1
"2020-07-19","F","45-64","CUSCO","CANCHIS",1
"2020-07-19","F","45-64","CUSCO","CUSCO",5
"2020-07-19","F","45-64","HUANCAVELICA","ANGARAES",1
"2020-07-19","F","45-64","HUANCAVELICA","CHURCAMPA",1
"2020-07-19","F","45-64","HUANCAVELICA","HUANCAVELICA",1
"2020-07-19","F","45-64","HUANUCO","HUANUCO",3
"2020-07-19","F","45-64","HUANUCO","LEONCIO PRADO",1
"2020-07-19","F","45-64","HUANUCO","MARAÑON",1
"2020-07-19","F","45-64","ICA","CHINCHA",4
"2020-07-19","F","45-64","ICA","ICA",4
"2020-07-19","F","45-64","ICA","NAZCA",1
"2020-07-19","F","45-64","ICA","PISCO",5
"2020-07-19","F","45-64","JUNIN","CHANCHAMAYO",3
"2020-07-19","F","45-64","JUNIN","HUANCAYO",5
"2020-07-19","F","45-64","JUNIN","JAUJA",2
"2020-07-19","F","45-64","LA LIBERTAD","ASCOPE",4
"2020-07-19","F","45-64","LA LIBERTAD","CHEPEN",2
"2020-07-19","F","45-64","LA LIBERTAD","OTUZCO",1
"2020-07-19","F","45-64","LA LIBERTAD","PACASMAYO",1
"2020-07-19","F","45-64","LA LIBERTAD","TRUJILLO",7
"2020-07-19","F","45-64","LA LIBERTAD","VIRU",2
"2020-07-19","F","45-64","LAMBAYEQUE","CHICLAYO",4
"2020-07-19","F","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-07-19","F","45-64","LAMBAYEQUE","LAMBAYEQUE",3
"2020-07-19","F","45-64","LIMA","BARRANCA",4
"2020-07-19","F","45-64","LIMA","CAÑETE",6
"2020-07-19","F","45-64","LIMA","HUARAL",1
"2020-07-19","F","45-64","LIMA","HUAURA",4
"2020-07-19","F","45-64","LIMA","LIMA",7
"2020-07-19","F","45-64","LIMA","OYON",1
"2020-07-19","F","45-64","LORETO","MAYNAS",2
"2020-07-19","F","45-64","MOQUEGUA","ILO",3
"2020-07-19","F","45-64","MOQUEGUA","MARISCAL NIETO",2
"2020-07-19","F","45-64","PASCO","PASCO",3
"2020-07-19","F","45-64","PIURA","HUANCABAMBA",1
"2020-07-19","F","45-64","PIURA","MORROPON",3
"2020-07-19","F","45-64","PIURA","PIURA",4
"2020-07-19","F","45-64","PIURA","TALARA",1
"2020-07-19","F","45-64","PUNO","PUNO",1
"2020-07-19","F","45-64","PUNO","SAN ROMAN",4
"2020-07-19","F","45-64","SAN MARTIN","HUALLAGA",1
"2020-07-19","F","45-64","SAN MARTIN","MOYOBAMBA",1
"2020-07-19","F","45-64","SAN MARTIN","SAN MARTIN",1
"2020-07-19","F","45-64","TACNA","TACNA",3
"2020-07-19","F","45-64","TUMBES","TUMBES",1
"2020-07-19","F","45-64","TUMBES","ZARUMILLA",1
"2020-07-19","F","45-64","UCAYALI","CORONEL PORTILLO",3
"2020-07-19","F","45-64","UCAYALI","PADRE ABAD",1
"2020-07-19","F","65+","AMAZONAS","BAGUA",3
"2020-07-19","F","65+","AMAZONAS","CHACHAPOYAS",1
"2020-07-19","F","65+","AMAZONAS","CONDORCANQUI",1
"2020-07-19","F","65+","AMAZONAS","UTCUBAMBA",2
"2020-07-19","F","65+","ANCASH","BOLOGNESI",1
"2020-07-19","F","65+","ANCASH","CARLOS FERMIN FITZCARRALD",1
"2020-07-19","F","65+","ANCASH","CASMA",3
"2020-07-19","F","65+","ANCASH","HUARAZ",7
"2020-07-19","F","65+","ANCASH","HUARMEY",1
"2020-07-19","F","65+","ANCASH","HUAYLAS",1
"2020-07-19","F","65+","ANCASH","SANTA",6
"2020-07-19","F","65+","APURIMAC","AYMARAES",1
"2020-07-19","F","65+","AREQUIPA","AREQUIPA",7
"2020-07-19","F","65+","AREQUIPA","CAMANA",1
"2020-07-19","F","65+","AREQUIPA","CAYLLOMA",4
"2020-07-19","F","65+","AREQUIPA","ISLAY",2
"2020-07-19","F","65+","AYACUCHO","CANGALLO",2
"2020-07-19","F","65+","AYACUCHO","HUAMANGA",3
"2020-07-19","F","65+","AYACUCHO","HUANTA",1
"2020-07-19","F","65+","AYACUCHO","LUCANAS",1
"2020-07-19","F","65+","CAJAMARCA","CAJAMARCA",5
"2020-07-19","F","65+","CAJAMARCA","HUALGAYOC",1
"2020-07-19","F","65+","CAJAMARCA","JAEN",5
"2020-07-19","F","65+","CAJAMARCA","SAN MARCOS",1
"2020-07-19","F","65+","CALLAO","CALLAO",7
"2020-07-19","F","65+","CUSCO","CALCA",1
"2020-07-19","F","65+","CUSCO","CHUMBIVILCAS",1
"2020-07-19","F","65+","CUSCO","CUSCO",6
"2020-07-19","F","65+","CUSCO","ESPINAR",1
"2020-07-19","F","65+","CUSCO","LA CONVENCION",2
"2020-07-19","F","65+","HUANCAVELICA","ACOBAMBA",1
"2020-07-19","F","65+","HUANCAVELICA","ANGARAES",2
"2020-07-19","F","65+","HUANCAVELICA","HUANCAVELICA",1
"2020-07-19","F","65+","HUANUCO","AMBO",1
"2020-07-19","F","65+","HUANUCO","HUANUCO",3
"2020-07-19","F","65+","HUANUCO","LEONCIO PRADO",4
"2020-07-19","F","65+","ICA","CHINCHA",5
"2020-07-19","F","65+","ICA","ICA",7
"2020-07-19","F","65+","ICA","NAZCA",1
"2020-07-19","F","65+","ICA","PISCO",3
"2020-07-19","F","65+","JUNIN","CHANCHAMAYO",2
"2020-07-19","F","65+","JUNIN","CHUPACA",1
"2020-07-19","F","65+","JUNIN","CONCEPCION",1
"2020-07-19","F","65+","JUNIN","HUANCAYO",6
"2020-07-19","F","65+","JUNIN","JAUJA",1
"2020-07-19","F","65+","JUNIN","JUNIN",1
"2020-07-19","F","65+","LA LIBERTAD","ASCOPE",6
"2020-07-19","F","65+","LA LIBERTAD","CHEPEN",2
"2020-07-19","F","65+","LA LIBERTAD","PACASMAYO",1
"2020-07-19","F","65+","LA LIBERTAD","TRUJILLO",7
"2020-07-19","F","65+","LA LIBERTAD","VIRU",3
"2020-07-19","F","65+","LAMBAYEQUE","CHICLAYO",7
"2020-07-19","F","65+","LAMBAYEQUE","FERREÑAFE",4
"2020-07-19","F","65+","LAMBAYEQUE","LAMBAYEQUE",4
"2020-07-19","F","65+","LIMA","BARRANCA",4
"2020-07-19","F","65+","LIMA","CAÑETE",6
"2020-07-19","F","65+","LIMA","HUARAL",4
"2020-07-19","F","65+","LIMA","HUAROCHIRI",3
"2020-07-19","F","65+","LIMA","HUAURA",5
"2020-07-19","F","65+","LIMA","LIMA",7
"2020-07-19","F","65+","LORETO","LORETO",1
"2020-07-19","F","65+","LORETO","MARISCAL RAMON CASTILLA",1
"2020-07-19","F","65+","LORETO","MAYNAS",1
"2020-07-19","F","65+","LORETO","UCAYALI",1
"2020-07-19","F","65+","MADRE DE DIOS","TAHUAMANU",1
"2020-07-19","F","65+","MOQUEGUA","GENERAL SANCHEZ CERRO",1
"2020-07-19","F","65+","MOQUEGUA","ILO",4
"2020-07-19","F","65+","MOQUEGUA","MARISCAL NIETO",5
"2020-07-19","F","65+","PASCO","DANIEL ALCIDES CARRION",1
"2020-07-19","F","65+","PIURA","HUANCABAMBA",3
"2020-07-19","F","65+","PIURA","MORROPON",2
"2020-07-19","F","65+","PIURA","PAITA",3
"2020-07-19","F","65+","PIURA","PIURA",7
"2020-07-19","F","65+","PIURA","SECHURA",2
"2020-07-19","F","65+","PIURA","SULLANA",6
"2020-07-19","F","65+","PIURA","TALARA",1
"2020-07-19","F","65+","PUNO","AZANGARO",1
"2020-07-19","F","65+","PUNO","PUNO",2
"2020-07-19","F","65+","PUNO","SAN ROMAN",2
"2020-07-19","F","65+","PUNO","SANDIA",1
"2020-07-19","F","65+","PUNO","YUNGUYO",1
"2020-07-19","F","65+","SAN MARTIN","BELLAVISTA",1
"2020-07-19","F","65+","SAN MARTIN","EL DORADO",1
"2020-07-19","F","65+","SAN MARTIN","HUALLAGA",1
"2020-07-19","F","65+","SAN MARTIN","LAMAS",1
"2020-07-19","F","65+","SAN MARTIN","MARISCAL CACERES",2
"2020-07-19","F","65+","SAN MARTIN","MOYOBAMBA",4
"2020-07-19","F","65+","SAN MARTIN","SAN MARTIN",1
"2020-07-19","F","65+","SAN MARTIN","TOCACHE",5
"2020-07-19","F","65+","TACNA","JORGE BASADRE",1
"2020-07-19","F","65+","TACNA","TACNA",4
"2020-07-19","F","65+","TACNA","TARATA",1
"2020-07-19","F","65+","TUMBES","CONTRALMIRANTE VILLAR",1
"2020-07-19","F","65+","TUMBES","TUMBES",3
"2020-07-19","F","65+","UCAYALI","CORONEL PORTILLO",2
"2020-07-19","M","0-17","CAJAMARCA","CAJABAMBA",1
"2020-07-19","M","0-17","LIMA","CAJATAMBO",1
"2020-07-19","M","0-17","LIMA","LIMA",1
"2020-07-19","M","0-17","PIURA","PIURA",1
"2020-07-19","M","0-17","SAN MARTIN","EL DORADO",1
"2020-07-19","M","0-17","TACNA","TACNA",1
"2020-07-19","M","18-44","AMAZONAS","CONDORCANQUI",1
"2020-07-19","M","18-44","ANCASH","ANTONIO RAIMONDI",1
"2020-07-19","M","18-44","ANCASH","BOLOGNESI",1
"2020-07-19","M","18-44","ANCASH","HUARAZ",1
"2020-07-19","M","18-44","ANCASH","HUAYLAS",1
"2020-07-19","M","18-44","ANCASH","SANTA",2
"2020-07-19","M","18-44","APURIMAC","ANDAHUAYLAS",2
"2020-07-19","M","18-44","AREQUIPA","AREQUIPA",6
"2020-07-19","M","18-44","AYACUCHO","HUAMANGA",4
"2020-07-19","M","18-44","AYACUCHO","LUCANAS",1
"2020-07-19","M","18-44","CAJAMARCA","CAJAMARCA",4
"2020-07-19","M","18-44","CAJAMARCA","CONTUMAZA",1
"2020-07-19","M","18-44","CAJAMARCA","JAEN",2
"2020-07-19","M","18-44","CALLAO","CALLAO",6
"2020-07-19","M","18-44","CUSCO","ANTA",1
"2020-07-19","M","18-44","CUSCO","CUSCO",2
"2020-07-19","M","18-44","CUSCO","ESPINAR",1
"2020-07-19","M","18-44","CUSCO","LA CONVENCION",1
"2020-07-19","M","18-44","CUSCO","QUISPICANCHI",1
"2020-07-19","M","18-44","HUANCAVELICA","ANGARAES",1
"2020-07-19","M","18-44","HUANUCO","HUANUCO",1
"2020-07-19","M","18-44","HUANUCO","LEONCIO PRADO",2
"2020-07-19","M","18-44","ICA","ICA",1
"2020-07-19","M","18-44","ICA","PALPA",1
"2020-07-19","M","18-44","ICA","PISCO",3
"2020-07-19","M","18-44","JUNIN","CHANCHAMAYO",1
"2020-07-19","M","18-44","JUNIN","HUANCAYO",5
"2020-07-19","M","18-44","JUNIN","JAUJA",1
"2020-07-19","M","18-44","JUNIN","TARMA",1
"2020-07-19","M","18-44","LA LIBERTAD","ASCOPE",1
"2020-07-19","M","18-44","LA LIBERTAD","CHEPEN",1
"2020-07-19","M","18-44","LA LIBERTAD","SANCHEZ CARRION",2
"2020-07-19","M","18-44","LA LIBERTAD","TRUJILLO",3
"2020-07-19","M","18-44","LAMBAYEQUE","CHICLAYO",2
"2020-07-19","M","18-44","LIMA","CAJATAMBO",1
"2020-07-19","M","18-44","LIMA","CAÑETE",1
"2020-07-19","M","18-44","LIMA","HUARAL",2
"2020-07-19","M","18-44","LIMA","HUAROCHIRI",1
"2020-07-19","M","18-44","LIMA","LIMA",7
"2020-07-19","M","18-44","LORETO","MAYNAS",1
"2020-07-19","M","18-44","MADRE DE DIOS","TAMBOPATA",4
"2020-07-19","M","18-44","MOQUEGUA","MARISCAL NIETO",2
"2020-07-19","M","18-44","PASCO","OXAPAMPA",1
"2020-07-19","M","18-44","PASCO","PASCO",1
"2020-07-19","M","18-44","PIURA","AYABACA",1
"2020-07-19","M","18-44","PIURA","PAITA",2
"2020-07-19","M","18-44","PIURA","PIURA",1
"2020-07-19","M","18-44","PIURA","SECHURA",1
"2020-07-19","M","18-44","PIURA","SULLANA",1
"2020-07-19","M","18-44","PUNO","LAMPA",1
"2020-07-19","M","18-44","PUNO","PUNO",3
"2020-07-19","M","18-44","PUNO","SAN ROMAN",2
"2020-07-19","M","18-44","SAN MARTIN","MARISCAL CACERES",1
"2020-07-19","M","18-44","SAN MARTIN","MOYOBAMBA",1
"2020-07-19","M","18-44","SAN MARTIN","RIOJA",1
"2020-07-19","M","18-44","SAN MARTIN","SAN MARTIN",1
"2020-07-19","M","18-44","TACNA","TACNA",3
"2020-07-19","M","18-44","TUMBES","TUMBES",1
"2020-07-19","M","18-44","UCAYALI","CORONEL PORTILLO",5
"2020-07-19","M","45-64","AMAZONAS","BAGUA",3
"2020-07-19","M","45-64","AMAZONAS","CONDORCANQUI",1
"2020-07-19","M","45-64","AMAZONAS","UTCUBAMBA",2
"2020-07-19","M","45-64","ANCASH","BOLOGNESI",1
"2020-07-19","M","45-64","ANCASH","CARHUAZ",1
"2020-07-19","M","45-64","ANCASH","CASMA",2
"2020-07-19","M","45-64","ANCASH","HUARAZ",2
"2020-07-19","M","45-64","ANCASH","HUARMEY",1
"2020-07-19","M","45-64","ANCASH","HUAYLAS",1
"2020-07-19","M","45-64","ANCASH","SANTA",7
"2020-07-19","M","45-64","APURIMAC","ANDAHUAYLAS",1
"2020-07-19","M","45-64","AREQUIPA","AREQUIPA",7
"2020-07-19","M","45-64","AREQUIPA","CARAVELI",1
"2020-07-19","M","45-64","AREQUIPA","CASTILLA",1
"2020-07-19","M","45-64","AREQUIPA","CAYLLOMA",1
"2020-07-19","M","45-64","AREQUIPA","CONDESUYOS",1
"2020-07-19","M","45-64","AREQUIPA","ISLAY",3
"2020-07-19","M","45-64","AYACUCHO","HUAMANGA",6
"2020-07-19","M","45-64","AYACUCHO","LUCANAS",1
"2020-07-19","M","45-64","CAJAMARCA","CAJABAMBA",1
"2020-07-19","M","45-64","CAJAMARCA","CAJAMARCA",7
"2020-07-19","M","45-64","CAJAMARCA","HUALGAYOC",2
"2020-07-19","M","45-64","CAJAMARCA","JAEN",7
"2020-07-19","M","45-64","CAJAMARCA","SAN IGNACIO",1
"2020-07-19","M","45-64","CAJAMARCA","SAN MIGUEL",1
"2020-07-19","M","45-64","CALLAO","CALLAO",7
"2020-07-19","M","45-64","CUSCO","CUSCO",6
"2020-07-19","M","45-64","CUSCO","LA CONVENCION",2
"2020-07-19","M","45-64","HUANCAVELICA","ANGARAES",1
"2020-07-19","M","45-64","HUANCAVELICA","HUANCAVELICA",1
"2020-07-19","M","45-64","HUANCAVELICA","TAYACAJA",1
"2020-07-19","M","45-64","HUANUCO","HUANUCO",4
"2020-07-19","M","45-64","HUANUCO","LEONCIO PRADO",4
"2020-07-19","M","45-64","HUANUCO","PACHITEA",1
"2020-07-19","M","45-64","ICA","CHINCHA",6
"2020-07-19","M","45-64","ICA","ICA",6
"2020-07-19","M","45-64","ICA","NAZCA",3
"2020-07-19","M","45-64","ICA","PISCO",2
"2020-07-19","M","45-64","JUNIN","CHANCHAMAYO",4
"2020-07-19","M","45-64","JUNIN","CHUPACA",2
"2020-07-19","M","45-64","JUNIN","CONCEPCION",1
"2020-07-19","M","45-64","JUNIN","HUANCAYO",7
"2020-07-19","M","45-64","JUNIN","SATIPO",1
"2020-07-19","M","45-64","JUNIN","YAULI",1
"2020-07-19","M","45-64","LA LIBERTAD","ASCOPE",2
"2020-07-19","M","45-64","LA LIBERTAD","CHEPEN",3
"2020-07-19","M","45-64","LA LIBERTAD","OTUZCO",1
"2020-07-19","M","45-64","LA LIBERTAD","PACASMAYO",7
"2020-07-19","M","45-64","LA LIBERTAD","PATAZ",1
"2020-07-19","M","45-64","LA LIBERTAD","SANCHEZ CARRION",1
"2020-07-19","M","45-64","LA LIBERTAD","SANTIAGO DE CHUCO",1
"2020-07-19","M","45-64","LA LIBERTAD","TRUJILLO",7
"2020-07-19","M","45-64","LA LIBERTAD","VIRU",6
"2020-07-19","M","45-64","LAMBAYEQUE","CHICLAYO",7
"2020-07-19","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-07-19","M","45-64","LAMBAYEQUE","LAMBAYEQUE",2
"2020-07-19","M","45-64","LIMA","BARRANCA",5
