"year","week","sexo","agrp","dpt_cdc","n"
2020,15,"F","45-64","ANCASH",1
2020,15,"F","45-64","AREQUIPA",1
2020,15,"F","45-64","CAJAMARCA",1
2020,15,"F","45-64","CALLAO",5
2020,15,"F","45-64","ICA",1
2020,15,"F","45-64","LAMBAYEQUE",9
2020,15,"F","45-64","LIMA",36
2020,15,"F","45-64","LORETO",1
2020,15,"F","45-64","PIURA",4
2020,15,"F","45-64","PUNO",1
2020,15,"F","65+","ANCASH",6
2020,15,"F","65+","AREQUIPA",2
2020,15,"F","65+","CAJAMARCA",1
2020,15,"F","65+","CALLAO",7
2020,15,"F","65+","ICA",8
2020,15,"F","65+","JUNIN",2
2020,15,"F","65+","LA LIBERTAD",5
2020,15,"F","65+","LAMBAYEQUE",6
2020,15,"F","65+","LIMA",85
2020,15,"F","65+","LORETO",5
2020,15,"F","65+","PIURA",5
2020,15,"F","65+","TUMBES",2
2020,15,"F","65+","UCAYALI",1
2020,15,"M","0-17","LIMA",2
2020,15,"M","0-17","PIURA",2
2020,15,"M","18-44","ANCASH",1
2020,15,"M","18-44","CAJAMARCA",1
2020,15,"M","18-44","CALLAO",1
2020,15,"M","18-44","JUNIN",1
2020,15,"M","18-44","LA LIBERTAD",1
2020,15,"M","18-44","LAMBAYEQUE",7
2020,15,"M","18-44","LIMA",34
2020,15,"M","18-44","LORETO",2
2020,15,"M","18-44","PIURA",8
2020,15,"M","45-64","ANCASH",3
2020,15,"M","45-64","AREQUIPA",1
2020,15,"M","45-64","AYACUCHO",1
2020,15,"M","45-64","CALLAO",22
2020,15,"M","45-64","ICA",4
2020,15,"M","45-64","JUNIN",2
2020,15,"M","45-64","LA LIBERTAD",1
2020,15,"M","45-64","LAMBAYEQUE",22
2020,15,"M","45-64","LIMA",107
2020,15,"M","45-64","LORETO",5
2020,15,"M","45-64","PIURA",4
2020,15,"M","45-64","TUMBES",1
2020,15,"M","45-64","UCAYALI",2
2020,15,"M","65+","ANCASH",5
2020,15,"M","65+","AREQUIPA",3
2020,15,"M","65+","CAJAMARCA",2
2020,15,"M","65+","CALLAO",29
2020,15,"M","65+","CUSCO",1
2020,15,"M","65+","HUANCAVELICA",1
2020,15,"M","65+","HUANUCO",1
2020,15,"M","65+","ICA",5
2020,15,"M","65+","JUNIN",7
