"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-08-11","M","65+","AREQUIPA","AREQUIPA",8
"2020-08-11","M","65+","AREQUIPA","CASTILLA",1
"2020-08-11","M","65+","AREQUIPA","CAYLLOMA",1
"2020-08-11","M","65+","AREQUIPA","LA UNION",1
"2020-08-11","M","65+","AYACUCHO","HUAMANGA",4
"2020-08-11","M","65+","CAJAMARCA","CAJAMARCA",2
"2020-08-11","M","65+","CAJAMARCA","CUTERVO",1
"2020-08-11","M","65+","CAJAMARCA","JAEN",3
"2020-08-11","M","65+","CAJAMARCA","SAN IGNACIO",1
"2020-08-11","M","65+","CALLAO","CALLAO",7
"2020-08-11","M","65+","CUSCO","CANCHIS",1
"2020-08-11","M","65+","CUSCO","CUSCO",5
"2020-08-11","M","65+","CUSCO","LA CONVENCION",1
"2020-08-11","M","65+","HUANCAVELICA","TAYACAJA",1
"2020-08-11","M","65+","HUANUCO","HUANUCO",3
"2020-08-11","M","65+","HUANUCO","LEONCIO PRADO",1
"2020-08-11","M","65+","HUANUCO","MARAÑON",1
"2020-08-11","M","65+","ICA","CHINCHA",1
"2020-08-11","M","65+","ICA","ICA",3
"2020-08-11","M","65+","ICA","PALPA",1
"2020-08-11","M","65+","JUNIN","CHANCHAMAYO",1
"2020-08-11","M","65+","JUNIN","CHUPACA",1
"2020-08-11","M","65+","JUNIN","HUANCAYO",6
"2020-08-11","M","65+","LA LIBERTAD","ASCOPE",2
"2020-08-11","M","65+","LA LIBERTAD","PACASMAYO",1
"2020-08-11","M","65+","LA LIBERTAD","TRUJILLO",6
"2020-08-11","M","65+","LA LIBERTAD","VIRU",1
"2020-08-11","M","65+","LAMBAYEQUE","CHICLAYO",6
"2020-08-11","M","65+","LAMBAYEQUE","LAMBAYEQUE",2
"2020-08-11","M","65+","LIMA","BARRANCA",4
"2020-08-11","M","65+","LIMA","CAÑETE",2
"2020-08-11","M","65+","LIMA","HUARAL",1
"2020-08-11","M","65+","LIMA","HUAURA",4
"2020-08-11","M","65+","LIMA","LIMA",80
"2020-08-11","M","65+","LORETO","MAYNAS",1
"2020-08-11","M","65+","MOQUEGUA","ILO",3
"2020-08-11","M","65+","MOQUEGUA","MARISCAL NIETO",1
"2020-08-11","M","65+","PASCO","DANIEL ALCIDES CARRION",1
"2020-08-11","M","65+","PASCO","PASCO",1
"2020-08-11","M","65+","PIURA","AYABACA",1
"2020-08-11","M","65+","PIURA","PAITA",2
"2020-08-11","M","65+","PIURA","TALARA",2
"2020-08-11","M","65+","PUNO","LAMPA",1
"2020-08-11","M","65+","PUNO","PUNO",4
"2020-08-11","M","65+","PUNO","SAN ROMAN",2
"2020-08-11","M","65+","SAN MARTIN","MARISCAL CACERES",1
"2020-08-11","M","65+","SAN MARTIN","RIOJA",1
"2020-08-11","M","65+","SAN MARTIN","TOCACHE",1
"2020-08-11","M","65+","TACNA","TACNA",6
"2020-08-11","M","65+","TUMBES","TUMBES",1
"2020-08-11","M","65+","UCAYALI","PADRE ABAD",1
"2020-08-12","F","18-44","AREQUIPA","AREQUIPA",3
"2020-08-12","F","18-44","CUSCO","CUSCO",1
"2020-08-12","F","18-44","HUANCAVELICA","HUAYTARA",1
"2020-08-12","F","18-44","JUNIN","SATIPO",1
"2020-08-12","F","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-08-12","F","18-44","LIMA","HUAURA",1
"2020-08-12","F","18-44","LIMA","LIMA",4
"2020-08-12","F","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-08-12","F","45-64","AMAZONAS","BAGUA",1
"2020-08-12","F","45-64","ANCASH","HUARAZ",1
"2020-08-12","F","45-64","AREQUIPA","AREQUIPA",9
"2020-08-12","F","45-64","AYACUCHO","HUAMANGA",5
"2020-08-12","F","45-64","CAJAMARCA","CAJAMARCA",1
"2020-08-12","F","45-64","CALLAO","CALLAO",2
"2020-08-12","F","45-64","CUSCO","CUSCO",4
"2020-08-12","F","45-64","HUANCAVELICA","HUANCAVELICA",1
"2020-08-12","F","45-64","ICA","NAZCA",1
"2020-08-12","F","45-64","ICA","PISCO",1
"2020-08-12","F","45-64","JUNIN","HUANCAYO",2
"2020-08-12","F","45-64","LA LIBERTAD","PACASMAYO",1
"2020-08-12","F","45-64","LAMBAYEQUE","CHICLAYO",3
"2020-08-12","F","45-64","LIMA","BARRANCA",2
"2020-08-12","F","45-64","LIMA","CAÑETE",3
"2020-08-12","F","45-64","LIMA","CANTA",1
"2020-08-12","F","45-64","LIMA","HUAURA",1
"2020-08-12","F","45-64","LIMA","LIMA",45
"2020-08-12","F","45-64","MADRE DE DIOS","TAMBOPATA",1
"2020-08-12","F","45-64","MOQUEGUA","ILO",1
"2020-08-12","F","45-64","PASCO","PASCO",1
"2020-08-12","F","45-64","PIURA","MORROPON",1
"2020-08-12","F","45-64","PIURA","PAITA",1
"2020-08-12","F","45-64","PIURA","SECHURA",1
"2020-08-12","F","45-64","PIURA","SULLANA",1
"2020-08-12","F","45-64","PUNO","LAMPA",1
"2020-08-12","F","45-64","PUNO","PUNO",1
"2020-08-12","F","45-64","SAN MARTIN","RIOJA",1
"2020-08-12","F","45-64","TACNA","TACNA",1
"2020-08-12","F","65+","AMAZONAS","CHACHAPOYAS",1
"2020-08-12","F","65+","ANCASH","CASMA",1
"2020-08-12","F","65+","ANCASH","HUARAZ",2
"2020-08-12","F","65+","ANCASH","RECUAY",1
"2020-08-12","F","65+","ANCASH","SANTA",2
"2020-08-12","F","65+","APURIMAC","ABANCAY",2
"2020-08-12","F","65+","AREQUIPA","AREQUIPA",10
"2020-08-12","F","65+","AREQUIPA","ISLAY",1
"2020-08-12","F","65+","AYACUCHO","HUAMANGA",2
"2020-08-12","F","65+","CALLAO","CALLAO",6
"2020-08-12","F","65+","CUSCO","CUSCO",5
"2020-08-12","F","65+","CUSCO","PARURO",1
"2020-08-12","F","65+","HUANCAVELICA","ANGARAES",1
"2020-08-12","F","65+","HUANCAVELICA","HUANCAVELICA",2
"2020-08-12","F","65+","HUANUCO","LEONCIO PRADO",1
"2020-08-12","F","65+","ICA","ICA",5
"2020-08-12","F","65+","ICA","NAZCA",1
"2020-08-12","F","65+","ICA","PISCO",1
"2020-08-12","F","65+","JUNIN","CHANCHAMAYO",1
"2020-08-12","F","65+","JUNIN","HUANCAYO",1
"2020-08-12","F","65+","JUNIN","JAUJA",1
"2020-08-12","F","65+","JUNIN","SATIPO",1
"2020-08-12","F","65+","LA LIBERTAD","CHEPEN",1
"2020-08-12","F","65+","LA LIBERTAD","TRUJILLO",2
"2020-08-12","F","65+","LAMBAYEQUE","CHICLAYO",3
"2020-08-12","F","65+","LIMA","BARRANCA",1
"2020-08-12","F","65+","LIMA","HUARAL",1
"2020-08-12","F","65+","LIMA","HUAURA",3
"2020-08-12","F","65+","LIMA","LIMA",62
"2020-08-12","F","65+","MOQUEGUA","ILO",1
"2020-08-12","F","65+","MOQUEGUA","MARISCAL NIETO",3
"2020-08-12","F","65+","PASCO","DANIEL ALCIDES CARRION",1
"2020-08-12","F","65+","PASCO","PASCO",1
"2020-08-12","F","65+","PIURA","PIURA",2
"2020-08-12","F","65+","PIURA","SULLANA",1
"2020-08-12","F","65+","PUNO","EL COLLAO",1
"2020-08-12","F","65+","PUNO","PUNO",3
"2020-08-12","F","65+","PUNO","SAN ROMAN",4
"2020-08-12","F","65+","SAN MARTIN","PICOTA",1
"2020-08-12","F","65+","SAN MARTIN","SAN MARTIN",1
"2020-08-12","F","65+","TACNA","TACNA",2
"2020-08-12","M","18-44","CAJAMARCA","CAJAMARCA",1
"2020-08-12","M","18-44","CALLAO","CALLAO",1
"2020-08-12","M","18-44","CUSCO","CUSCO",1
"2020-08-12","M","18-44","ICA","PISCO",1
"2020-08-12","M","18-44","LAMBAYEQUE","FERREÑAFE",2
"2020-08-12","M","18-44","LIMA","CAÑETE",1
"2020-08-12","M","18-44","LIMA","LIMA",5
"2020-08-12","M","18-44","MOQUEGUA","ILO",1
"2020-08-12","M","18-44","PASCO","PASCO",1
"2020-08-12","M","18-44","PUNO","PUNO",1
"2020-08-12","M","18-44","PUNO","SAN ROMAN",1
"2020-08-12","M","18-44","SAN MARTIN","MOYOBAMBA",1
"2020-08-12","M","18-44","SAN MARTIN","SAN MARTIN",1
"2020-08-12","M","18-44","UCAYALI","CORONEL PORTILLO",2
"2020-08-12","M","45-64","ANCASH","HUARI",1
"2020-08-12","M","45-64","APURIMAC","ABANCAY",1
"2020-08-12","M","45-64","AREQUIPA","AREQUIPA",4
"2020-08-12","M","45-64","AREQUIPA","CAMANA",1
"2020-08-12","M","45-64","AYACUCHO","HUAMANGA",3
"2020-08-12","M","45-64","CAJAMARCA","CAJABAMBA",1
"2020-08-12","M","45-64","CAJAMARCA","CAJAMARCA",1
"2020-08-12","M","45-64","CAJAMARCA","HUALGAYOC",1
"2020-08-12","M","45-64","CAJAMARCA","JAEN",2
"2020-08-12","M","45-64","CALLAO","CALLAO",7
"2020-08-12","M","45-64","CUSCO","CUSCO",4
"2020-08-12","M","45-64","CUSCO","LA CONVENCION",1
"2020-08-12","M","45-64","HUANCAVELICA","TAYACAJA",1
"2020-08-12","M","45-64","ICA","CHINCHA",2
"2020-08-12","M","45-64","ICA","ICA",2
"2020-08-12","M","45-64","ICA","NAZCA",1
"2020-08-12","M","45-64","ICA","PISCO",2
"2020-08-12","M","45-64","JUNIN","CHANCHAMAYO",1
"2020-08-12","M","45-64","JUNIN","CHUPACA",1
"2020-08-12","M","45-64","JUNIN","HUANCAYO",3
"2020-08-12","M","45-64","LA LIBERTAD","ASCOPE",1
"2020-08-12","M","45-64","LA LIBERTAD","PACASMAYO",1
"2020-08-12","M","45-64","LA LIBERTAD","TRUJILLO",2
"2020-08-12","M","45-64","LAMBAYEQUE","CHICLAYO",2
"2020-08-12","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-08-12","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-08-12","M","45-64","LIMA","BARRANCA",2
"2020-08-12","M","45-64","LIMA","CAÑETE",1
"2020-08-12","M","45-64","LIMA","HUARAL",4
"2020-08-12","M","45-64","LIMA","HUAURA",2
"2020-08-12","M","45-64","LIMA","LIMA",47
"2020-08-12","M","45-64","MADRE DE DIOS","TAMBOPATA",2
"2020-08-12","M","45-64","PIURA","PIURA",1
"2020-08-12","M","45-64","PIURA","SULLANA",1
"2020-08-12","M","45-64","PUNO","AZANGARO",1
"2020-08-12","M","45-64","PUNO","CHUCUITO",2
"2020-08-12","M","45-64","PUNO","EL COLLAO",1
"2020-08-12","M","45-64","PUNO","MELGAR",1
"2020-08-12","M","45-64","PUNO","PUNO",3
"2020-08-12","M","45-64","PUNO","SAN ROMAN",6
"2020-08-12","M","45-64","SAN MARTIN","MARISCAL CACERES",1
"2020-08-12","M","45-64","SAN MARTIN","MOYOBAMBA",1
"2020-08-12","M","45-64","SAN MARTIN","TOCACHE",2
"2020-08-12","M","45-64","TACNA","TACNA",4
"2020-08-12","M","65+","AMAZONAS","BAGUA",1
"2020-08-12","M","65+","ANCASH","HUARAZ",1
"2020-08-12","M","65+","ANCASH","SANTA",4
"2020-08-12","M","65+","APURIMAC","ABANCAY",2
"2020-08-12","M","65+","APURIMAC","ANDAHUAYLAS",1
"2020-08-12","M","65+","AREQUIPA","AREQUIPA",16
"2020-08-12","M","65+","AYACUCHO","HUAMANGA",4
"2020-08-12","M","65+","CAJAMARCA","CAJAMARCA",5
"2020-08-12","M","65+","CAJAMARCA","JAEN",1
"2020-08-12","M","65+","CALLAO","CALLAO",11
"2020-08-12","M","65+","CUSCO","CANCHIS",2
"2020-08-12","M","65+","CUSCO","LA CONVENCION",3
"2020-08-12","M","65+","CUSCO","PARURO",1
"2020-08-12","M","65+","HUANCAVELICA","ANGARAES",1
"2020-08-12","M","65+","HUANCAVELICA","HUANCAVELICA",1
"2020-08-12","M","65+","HUANUCO","HUANUCO",2
"2020-08-12","M","65+","ICA","CHINCHA",1
"2020-08-12","M","65+","ICA","ICA",1
"2020-08-12","M","65+","ICA","PISCO",2
"2020-08-12","M","65+","JUNIN","CONCEPCION",1
"2020-08-12","M","65+","JUNIN","HUANCAYO",8
"2020-08-12","M","65+","JUNIN","SATIPO",1
"2020-08-12","M","65+","LA LIBERTAD","ASCOPE",3
"2020-08-12","M","65+","LA LIBERTAD","CHEPEN",1
"2020-08-12","M","65+","LA LIBERTAD","PACASMAYO",2
"2020-08-12","M","65+","LA LIBERTAD","TRUJILLO",6
"2020-08-12","M","65+","LA LIBERTAD","VIRU",1
"2020-08-12","M","65+","LAMBAYEQUE","CHICLAYO",5
"2020-08-12","M","65+","LAMBAYEQUE","FERREÑAFE",2
"2020-08-12","M","65+","LIMA","BARRANCA",1
"2020-08-12","M","65+","LIMA","CAÑETE",1
"2020-08-12","M","65+","LIMA","HUARAL",1
"2020-08-12","M","65+","LIMA","HUAROCHIRI",1
"2020-08-12","M","65+","LIMA","LIMA",77
"2020-08-12","M","65+","LORETO","MAYNAS",1
"2020-08-12","M","65+","MOQUEGUA","MARISCAL NIETO",8
"2020-08-12","M","65+","PIURA","MORROPON",3
"2020-08-12","M","65+","PIURA","PIURA",3
"2020-08-12","M","65+","PIURA","SULLANA",3
"2020-08-12","M","65+","PUNO","PUNO",3
"2020-08-12","M","65+","PUNO","SAN ROMAN",3
"2020-08-12","M","65+","SAN MARTIN","HUALLAGA",1
"2020-08-12","M","65+","SAN MARTIN","PICOTA",1
"2020-08-12","M","65+","SAN MARTIN","SAN MARTIN",3
"2020-08-12","M","65+","TACNA","TACNA",7
"2020-08-12","M","65+","TUMBES","TUMBES",1
"2020-08-12","M","65+","UCAYALI","ATALAYA",1
"2020-08-12","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-08-13","F","0-17","LIMA","CAJATAMBO",2
"2020-08-13","F","0-17","UCAYALI","PADRE ABAD",1
"2020-08-13","F","18-44","APURIMAC","ABANCAY",1
"2020-08-13","F","18-44","AYACUCHO","HUAMANGA",1
"2020-08-13","F","18-44","AYACUCHO","LA MAR",4
"2020-08-13","F","18-44","HUANUCO","LEONCIO PRADO",1
"2020-08-13","F","18-44","ICA","ICA",1
"2020-08-13","F","18-44","LIMA","CAJATAMBO",3
"2020-08-13","F","18-44","LIMA","CAÑETE",1
"2020-08-13","F","18-44","LIMA","LIMA",4
"2020-08-13","F","18-44","MADRE DE DIOS","TAMBOPATA",1
"2020-08-13","F","18-44","PIURA","PAITA",1
"2020-08-13","F","18-44","PIURA","SECHURA",1
"2020-08-13","F","18-44","PUNO","PUNO",1
"2020-08-13","F","18-44","PUNO","SAN ROMAN",1
"2020-08-13","F","45-64","APURIMAC","ANDAHUAYLAS",1
"2020-08-13","F","45-64","AREQUIPA","AREQUIPA",3
"2020-08-13","F","45-64","AREQUIPA","CAMANA",1
"2020-08-13","F","45-64","AREQUIPA","CAYLLOMA",1
"2020-08-13","F","45-64","AYACUCHO","HUAMANGA",1
"2020-08-13","F","45-64","AYACUCHO","LA MAR",2
"2020-08-13","F","45-64","CALLAO","CALLAO",3
"2020-08-13","F","45-64","CUSCO","CUSCO",2
"2020-08-13","F","45-64","HUANCAVELICA","HUANCAVELICA",1
"2020-08-13","F","45-64","HUANUCO","HUANUCO",1
"2020-08-13","F","45-64","HUANUCO","LEONCIO PRADO",1
"2020-08-13","F","45-64","ICA","ICA",1
"2020-08-13","F","45-64","ICA","PISCO",1
"2020-08-13","F","45-64","JUNIN","HUANCAYO",4
"2020-08-13","F","45-64","LA LIBERTAD","CHEPEN",1
"2020-08-13","F","45-64","LAMBAYEQUE","CHICLAYO",2
"2020-08-13","F","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-08-13","F","45-64","LIMA","BARRANCA",1
"2020-08-13","F","45-64","LIMA","CAJATAMBO",1
"2020-08-13","F","45-64","LIMA","LIMA",21
"2020-08-13","F","45-64","LORETO","MAYNAS",1
"2020-08-13","F","45-64","MOQUEGUA","MARISCAL NIETO",1
"2020-08-13","F","45-64","PASCO","PASCO",1
"2020-08-13","F","45-64","PIURA","PIURA",1
"2020-08-13","F","45-64","PIURA","SECHURA",1
"2020-08-13","F","45-64","PUNO","HUANCANE",2
"2020-08-13","F","45-64","TACNA","TACNA",5
"2020-08-13","F","45-64","UCAYALI","CORONEL PORTILLO",2
"2020-08-13","F","65+","ANCASH","HUARAZ",2
"2020-08-13","F","65+","ANCASH","SANTA",2
"2020-08-13","F","65+","APURIMAC","ANDAHUAYLAS",1
"2020-08-13","F","65+","AREQUIPA","AREQUIPA",14
"2020-08-13","F","65+","AREQUIPA","CARAVELI",1
"2020-08-13","F","65+","AREQUIPA","CASTILLA",1
"2020-08-13","F","65+","AREQUIPA","CAYLLOMA",1
"2020-08-13","F","65+","AREQUIPA","ISLAY",1
"2020-08-13","F","65+","AYACUCHO","HUAMANGA",1
"2020-08-13","F","65+","CAJAMARCA","CAJAMARCA",1
"2020-08-13","F","65+","CAJAMARCA","CONTUMAZA",1
"2020-08-13","F","65+","CAJAMARCA","JAEN",1
"2020-08-13","F","65+","CALLAO","CALLAO",6
"2020-08-13","F","65+","CUSCO","CANCHIS",1
"2020-08-13","F","65+","CUSCO","CUSCO",6
"2020-08-13","F","65+","CUSCO","LA CONVENCION",5
"2020-08-13","F","65+","HUANCAVELICA","HUANCAVELICA",3
"2020-08-13","F","65+","HUANUCO","HUANUCO",1
"2020-08-13","F","65+","HUANUCO","LAURICOCHA",1
"2020-08-13","F","65+","HUANUCO","LEONCIO PRADO",1
"2020-08-13","F","65+","ICA","ICA",2
"2020-08-13","F","65+","ICA","NAZCA",1
"2020-08-13","F","65+","ICA","PISCO",2
"2020-08-13","F","65+","JUNIN","HUANCAYO",2
"2020-08-13","F","65+","JUNIN","JUNIN",1
"2020-08-13","F","65+","LA LIBERTAD","ASCOPE",1
"2020-08-13","F","65+","LA LIBERTAD","CHEPEN",1
"2020-08-13","F","65+","LA LIBERTAD","TRUJILLO",4
"2020-08-13","F","65+","LAMBAYEQUE","CHICLAYO",3
"2020-08-13","F","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-08-13","F","65+","LIMA","BARRANCA",3
"2020-08-13","F","65+","LIMA","HUAROCHIRI",1
"2020-08-13","F","65+","LIMA","HUAURA",2
"2020-08-13","F","65+","LIMA","LIMA",60
"2020-08-13","F","65+","LORETO","MAYNAS",1
"2020-08-13","F","65+","MADRE DE DIOS","TAMBOPATA",1
"2020-08-13","F","65+","MOQUEGUA","MARISCAL NIETO",2
"2020-08-13","F","65+","PIURA","HUANCABAMBA",1
"2020-08-13","F","65+","PIURA","MORROPON",2
"2020-08-13","F","65+","PIURA","PAITA",2
"2020-08-13","F","65+","PIURA","PIURA",2
"2020-08-13","F","65+","PIURA","SULLANA",3
"2020-08-13","F","65+","PUNO","AZANGARO",2
"2020-08-13","F","65+","PUNO","PUNO",2
"2020-08-13","F","65+","PUNO","SAN ROMAN",1
"2020-08-13","F","65+","SAN MARTIN","LAMAS",1
"2020-08-13","F","65+","TACNA","TACNA",2
"2020-08-13","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-08-13","M","0-17","LIMA","CAJATAMBO",1
"2020-08-13","M","0-17","SAN MARTIN","LAMAS",1
"2020-08-13","M","18-44","ANCASH","SANTA",1
"2020-08-13","M","18-44","AYACUCHO","HUAMANGA",1
"2020-08-13","M","18-44","CAJAMARCA","SAN MIGUEL",1
"2020-08-13","M","18-44","CALLAO","CALLAO",2
"2020-08-13","M","18-44","CUSCO","CUSCO",1
"2020-08-13","M","18-44","HUANUCO","HUANUCO",1
"2020-08-13","M","18-44","JUNIN","CONCEPCION",1
"2020-08-13","M","18-44","JUNIN","SATIPO",1
"2020-08-13","M","18-44","LA LIBERTAD","PACASMAYO",1
"2020-08-13","M","18-44","LA LIBERTAD","TRUJILLO",3
"2020-08-13","M","18-44","LIMA","BARRANCA",1
"2020-08-13","M","18-44","LIMA","CAJATAMBO",1
"2020-08-13","M","18-44","LIMA","LIMA",12
"2020-08-13","M","18-44","PIURA","PIURA",1
"2020-08-13","M","18-44","PUNO","CHUCUITO",1
"2020-08-13","M","18-44","PUNO","LAMPA",1
"2020-08-13","M","18-44","PUNO","SAN ROMAN",1
"2020-08-13","M","18-44","SAN MARTIN","TOCACHE",1
"2020-08-13","M","18-44","TUMBES","TUMBES",1
"2020-08-13","M","45-64","ANCASH","CARHUAZ",1
"2020-08-13","M","45-64","ANCASH","HUARAZ",2
"2020-08-13","M","45-64","ANCASH","SANTA",2
"2020-08-13","M","45-64","AREQUIPA","AREQUIPA",3
"2020-08-13","M","45-64","AYACUCHO","HUAMANGA",3
"2020-08-13","M","45-64","AYACUCHO","HUANTA",1
"2020-08-13","M","45-64","AYACUCHO","LUCANAS",1
"2020-08-13","M","45-64","CAJAMARCA","CAJAMARCA",3
"2020-08-13","M","45-64","CAJAMARCA","JAEN",1
"2020-08-13","M","45-64","CALLAO","CALLAO",3
"2020-08-13","M","45-64","CUSCO","ANTA",1
"2020-08-13","M","45-64","CUSCO","CANCHIS",1
"2020-08-13","M","45-64","CUSCO","CUSCO",5
"2020-08-13","M","45-64","HUANCAVELICA","HUANCAVELICA",1
"2020-08-13","M","45-64","HUANUCO","HUANUCO",1
"2020-08-13","M","45-64","ICA","ICA",2
"2020-08-13","M","45-64","ICA","PISCO",2
"2020-08-13","M","45-64","JUNIN","CONCEPCION",1
"2020-08-13","M","45-64","JUNIN","HUANCAYO",6
"2020-08-13","M","45-64","JUNIN","TARMA",1
"2020-08-13","M","45-64","LA LIBERTAD","ASCOPE",1
"2020-08-13","M","45-64","LA LIBERTAD","PACASMAYO",1
"2020-08-13","M","45-64","LA LIBERTAD","TRUJILLO",5
"2020-08-13","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-08-13","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-08-13","M","45-64","LIMA","BARRANCA",1
"2020-08-13","M","45-64","LIMA","HUARAL",1
"2020-08-13","M","45-64","LIMA","HUAROCHIRI",1
"2020-08-13","M","45-64","LIMA","HUAURA",1
"2020-08-13","M","45-64","LIMA","LIMA",59
"2020-08-13","M","45-64","LORETO","MAYNAS",1
"2020-08-13","M","45-64","LORETO","REQUENA",1
"2020-08-13","M","45-64","MOQUEGUA","GENERAL SANCHEZ CERRO",1
"2020-08-13","M","45-64","MOQUEGUA","MARISCAL NIETO",2
"2020-08-13","M","45-64","PIURA","PIURA",4
"2020-08-13","M","45-64","PIURA","SECHURA",1
"2020-08-13","M","45-64","PIURA","SULLANA",1
"2020-08-13","M","45-64","PIURA","TALARA",1
"2020-08-13","M","45-64","PUNO","AZANGARO",1
"2020-08-13","M","45-64","PUNO","PUNO",7
"2020-08-13","M","45-64","PUNO","SAN ROMAN",5
"2020-08-13","M","45-64","PUNO","SANDIA",1
"2020-08-13","M","45-64","SAN MARTIN","LAMAS",1
"2020-08-13","M","45-64","SAN MARTIN","RIOJA",1
"2020-08-13","M","45-64","SAN MARTIN","SAN MARTIN",1
"2020-08-13","M","45-64","TACNA","TACNA",5
"2020-08-13","M","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-08-13","M","65+","AMAZONAS","BAGUA",2
"2020-08-13","M","65+","ANCASH","HUARAZ",3
"2020-08-13","M","65+","ANCASH","SANTA",4
"2020-08-13","M","65+","AREQUIPA","AREQUIPA",7
"2020-08-13","M","65+","AREQUIPA","CAYLLOMA",1
"2020-08-13","M","65+","AYACUCHO","HUAMANGA",4
"2020-08-13","M","65+","AYACUCHO","HUANTA",1
"2020-08-13","M","65+","AYACUCHO","LA MAR",1
"2020-08-13","M","65+","CAJAMARCA","CAJAMARCA",3
"2020-08-13","M","65+","CAJAMARCA","JAEN",2
"2020-08-13","M","65+","CALLAO","CALLAO",7
"2020-08-13","M","65+","CUSCO","CUSCO",8
"2020-08-13","M","65+","CUSCO","ESPINAR",1
"2020-08-13","M","65+","CUSCO","LA CONVENCION",1
"2020-08-13","M","65+","HUANCAVELICA","HUANCAVELICA",2
"2020-08-13","M","65+","HUANCAVELICA","TAYACAJA",1
"2020-08-13","M","65+","HUANUCO","HUANUCO",1
"2020-08-13","M","65+","HUANUCO","LEONCIO PRADO",2
"2020-08-13","M","65+","ICA","CHINCHA",1
"2020-08-13","M","65+","ICA","ICA",5
"2020-08-13","M","65+","ICA","PISCO",2
"2020-08-13","M","65+","JUNIN","CHANCHAMAYO",1
"2020-08-13","M","65+","JUNIN","HUANCAYO",4
"2020-08-13","M","65+","LA LIBERTAD","CHEPEN",1
"2020-08-13","M","65+","LA LIBERTAD","SANCHEZ CARRION",1
"2020-08-13","M","65+","LA LIBERTAD","TRUJILLO",6
"2020-08-13","M","65+","LAMBAYEQUE","CHICLAYO",3
"2020-08-13","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-08-13","M","65+","LIMA","BARRANCA",5
"2020-08-13","M","65+","LIMA","CAJATAMBO",1
"2020-08-13","M","65+","LIMA","CAÑETE",1
"2020-08-13","M","65+","LIMA","HUARAL",1
"2020-08-13","M","65+","LIMA","HUAURA",1
"2020-08-13","M","65+","LIMA","LIMA",91
"2020-08-13","M","65+","MOQUEGUA","GENERAL SANCHEZ CERRO",1
"2020-08-13","M","65+","MOQUEGUA","ILO",2
"2020-08-13","M","65+","MOQUEGUA","MARISCAL NIETO",5
"2020-08-13","M","65+","PASCO","PASCO",1
"2020-08-13","M","65+","PIURA","MORROPON",1
"2020-08-13","M","65+","PIURA","PIURA",5
"2020-08-13","M","65+","PIURA","SECHURA",1
"2020-08-13","M","65+","PIURA","SULLANA",3
"2020-08-13","M","65+","PUNO","AZANGARO",1
"2020-08-13","M","65+","PUNO","HUANCANE",1
"2020-08-13","M","65+","PUNO","MELGAR",1
"2020-08-13","M","65+","PUNO","PUNO",3
"2020-08-13","M","65+","PUNO","SAN ROMAN",4
"2020-08-13","M","65+","SAN MARTIN","RIOJA",2
"2020-08-13","M","65+","SAN MARTIN","TOCACHE",1
"2020-08-13","M","65+","TACNA","TACNA",8
"2020-08-13","M","65+","TUMBES","ZARUMILLA",1
"2020-08-14","F","0-17","AMAZONAS","CONDORCANQUI",1
"2020-08-14","F","18-44","ANCASH","SANTA",2
"2020-08-14","F","18-44","AYACUCHO","HUAMANGA",1
"2020-08-14","F","18-44","AYACUCHO","LA MAR",1
"2020-08-14","F","18-44","ICA","ICA",1
"2020-08-14","F","18-44","ICA","PISCO",1
"2020-08-14","F","18-44","LAMBAYEQUE","LAMBAYEQUE",1
"2020-08-14","F","18-44","LIMA","LIMA",8
"2020-08-14","F","18-44","PASCO","DANIEL ALCIDES CARRION",1
"2020-08-14","F","18-44","PIURA","PIURA",2
"2020-08-14","F","18-44","PUNO","LAMPA",1
"2020-08-14","F","18-44","TACNA","TACNA",1
"2020-08-14","F","45-64","ANCASH","HUARAZ",2
"2020-08-14","F","45-64","ANCASH","HUAYLAS",1
"2020-08-14","F","45-64","APURIMAC","ABANCAY",1
"2020-08-14","F","45-64","AREQUIPA","AREQUIPA",7
"2020-08-14","F","45-64","AREQUIPA","CAYLLOMA",1
"2020-08-14","F","45-64","CAJAMARCA","SANTA CRUZ",1
"2020-08-14","F","45-64","CALLAO","CALLAO",2
"2020-08-14","F","45-64","CUSCO","CUSCO",4
"2020-08-14","F","45-64","CUSCO","ESPINAR",2
"2020-08-14","F","45-64","HUANUCO","HUANUCO",1
"2020-08-14","F","45-64","ICA","CHINCHA",1
"2020-08-14","F","45-64","ICA","ICA",1
"2020-08-14","F","45-64","JUNIN","CHANCHAMAYO",1
"2020-08-14","F","45-64","JUNIN","HUANCAYO",3
"2020-08-14","F","45-64","JUNIN","TARMA",1
"2020-08-14","F","45-64","LA LIBERTAD","TRUJILLO",3
