"fecha_fallecimiento","sexo","agrp","dpt_cdc","n"
"2020-04-03","M","45-64","LAMBAYEQUE",2
"2020-04-03","M","45-64","LIMA",6
"2020-04-03","M","45-64","TUMBES",1
"2020-04-03","M","45-64","UCAYALI",1
"2020-04-03","M","65+","AREQUIPA",1
"2020-04-03","M","65+","CALLAO",1
"2020-04-03","M","65+","ICA",1
"2020-04-03","M","65+","LAMBAYEQUE",1
"2020-04-03","M","65+","LIMA",12
"2020-04-03","M","65+","LORETO",1
"2020-04-03","M","65+","PIURA",1
"2020-04-04","F","45-64","ICA",1
"2020-04-04","F","45-64","LAMBAYEQUE",1
"2020-04-04","F","45-64","LIMA",1
"2020-04-04","F","45-64","PIURA",1
"2020-04-04","F","65+","LA LIBERTAD",1
"2020-04-04","F","65+","LAMBAYEQUE",1
"2020-04-04","F","65+","LIMA",6
"2020-04-04","F","65+","PIURA",1
"2020-04-04","F","65+","UCAYALI",1
"2020-04-04","M","0-17","PIURA",1
"2020-04-04","M","0-17","UCAYALI",1
"2020-04-04","M","18-44","LIMA",2
"2020-04-04","M","18-44","PIURA",1
"2020-04-04","M","18-44","UCAYALI",1
"2020-04-04","M","45-64","AREQUIPA",1
"2020-04-04","M","45-64","LAMBAYEQUE",3
"2020-04-04","M","45-64","LIMA",6
"2020-04-04","M","65+","AREQUIPA",4
"2020-04-04","M","65+","CALLAO",2
"2020-04-04","M","65+","ICA",1
"2020-04-04","M","65+","JUNIN",1
"2020-04-04","M","65+","LIMA",15
"2020-04-04","M","65+","PIURA",1
"2020-04-04","M","65+","UCAYALI",2
"2020-04-05","F","0-17","LAMBAYEQUE",1
"2020-04-05","F","18-44","LORETO",1
"2020-04-05","F","45-64","HUANUCO",1
"2020-04-05","F","45-64","LIMA",2
"2020-04-05","F","45-64","PIURA",2
"2020-04-05","F","65+","AMAZONAS",1
"2020-04-05","F","65+","ANCASH",1
"2020-04-05","F","65+","LA LIBERTAD",1
"2020-04-05","F","65+","LAMBAYEQUE",1
"2020-04-05","F","65+","LIMA",3
"2020-04-05","F","65+","LORETO",1
"2020-04-05","F","65+","SAN MARTIN",1
"2020-04-05","M","18-44","JUNIN",1
"2020-04-05","M","18-44","LIMA",1
"2020-04-05","M","45-64","CALLAO",1
"2020-04-05","M","45-64","JUNIN",1
"2020-04-05","M","45-64","LAMBAYEQUE",3
"2020-04-05","M","45-64","LIMA",7
"2020-04-05","M","45-64","LORETO",1
"2020-04-05","M","65+","AREQUIPA",1
"2020-04-05","M","65+","CALLAO",1
"2020-04-05","M","65+","HUANUCO",1
"2020-04-05","M","65+","ICA",1
"2020-04-05","M","65+","LIMA",5
"2020-04-06","F","45-64","LIMA",5
"2020-04-06","F","45-64","PIURA",1
"2020-04-06","F","45-64","TUMBES",1
"2020-04-06","F","65+","CAJAMARCA",1
"2020-04-06","F","65+","CALLAO",1
"2020-04-06","F","65+","ICA",2
